catalog_year,source_file,main_category,main_category_english,subcategory_or_series,author,author_transcribed,title,title_english,pages_format,price,currency,notes
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Α. Βάμπας,A. Vampas,"Αἰμίλιος, μετὰ 4 εἰκόνων","Aemilius, with 4 illustrations","σελ. 80, χαρτόδετος",4,γρ.,
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Ι. Α. Βρετός,I. A. Vretos,᾿Αλφαβητάριον μικρόν,Small Primer,σελ. 30,20,παρ.,
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Ι. Α. Βρετός,I. A. Vretos,᾿Αλφαβητάριον μέγα,Large Primer,σελ. 60,1,γρ.,
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Ι. Π. Κοκκώνης,I. P. Kokkonis,᾿Αλφαβητάριον,Primer,σελ. 32,10,παρ.,Marked with asterisk (*)
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Δ. Α. Κορομηλᾶς,D. A. Koromilas,᾿Αλφαβητάριον,Primer,σελ. 30,30,παρ.,Struck through in text
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Κ. Γ. Κουρτίδης καὶ Γ. Κωνσταντινίδης,K. G. Kourtidis and G. Konstantinidis,᾿Αλφαβητάριον,Primer,σελ. 77,1,γρ.,Price: 1 γρ. 20 παρ.
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Μπάρτ καὶ Χίρστ,Barth and Hirst,᾿Αλφαβητάριον ῾Ελληνικόν,Greek Primer,"4ον, δεδεμένον",10,γρ.,24 χρωμολιθογραφημέναι εἰκόνες πρὸς ἐκμάθησιν τοῦ ᾿Αλφαβήτου μετὰ στίχων
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Γ. Κωνσταντινίδης,G. Konstantinidis,᾿Αλφαβητάριον μέγα,Large Primer,σελ. 60,1,γρ.,Marked with asterisk (*)
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Χαρίσιος Παπαμάρκος,Charisios Papamarkos,᾿Αλφαβητάριον ῾Ελληνικόν,Greek Primer,σελ. 84,1,γρ.,"Marked with pointing hand (publisher's edition). Μετὰ εἰκόνων, πρὸς χρῆσιν τῆς Α΄ τάξεως τοῦ Δημοτικοῦ Σχολείου. Ἔτος Α΄, Μέρος α΄, ἔκδοσις β΄. Price: 1 γρ. 20 παρ."
1895,IMG_1290.jpeg,"ΝΗΠΙΑΓΩΓΕΙΑ, ΔΗΜΟΤΙΚΑ ΣΧΟΛΕΙΑ, ΑΣΤΙΚΑΙ ΣΧΟΛΑΙ ΚΑΙ ΠΑΡΘΕΝΑΓΩΓΕΙΑ","Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,Χαρίσιος Παπαμάρκος,Charisios Papamarkos,᾿Αλφαβητάριον ῾Ελληνικόν,Greek Primer,σελ. 72,1,γρ.,"Marked with pointing hand (publisher's edition). Ἔτος Α΄, Μέρος β΄, ἔκδοσις β΄. Price: 1 γρ. 20 παρ."
